43	85
48	91
50	24
18	17
20	85
39	71
22	0
28	67
47	31
100	42
36	77
99	1
96	57
45	21
64	23
77	75
1	70
49	46
45	56
54	1
37	54
28	25
8	7
18	28
26	1
8	84
4	19
4	14
87	53
38	63
100	5
33	10
32	59
80	2
15	54
100	12
17	3
45	3
92	95
69	58
63	41
75	38
72	49
21	4
3	19
18	62
78	38
71	18
12	57
27	26
82	40
75	42
47	45
27	78
89	81
98	100
38	97
17	27
44	52
60	17
24	68
60	10
9	19
45	2
64	14
8	56
8	88
40	25
59	52
15	34
39	96
65	3
51	78
55	79
14	61
90	40
79	41
33	88
40	96
44	22
47	29
6	27
74	52
67	11
66	23
85	37
47	15
57	83
37	77
27	11
57	63
68	82
18	88
66	69
26	85
23	30
39	78
61	1
77	66
33	46
