13	37
0	16
90	34
38	58
30	24
93	93
79	78
61	58
57	2
96	18
12	38
65	0
98	80
17	72
1	5
88	36
94	43
56	1
39	69
45	47
8	16
51	61
22	51
71	14
58	81
100	40
76	53
33	31
89	10
37	23
51	12
57	46
52	26
49	48
93	33
74	22
29	75
70	98
80	60
83	28
74	10
52	40
68	83
56	2
1	40
87	37
49	20
25	33
50	76
58	96
93	68
14	74
18	90
92	63
76	70
79	9
34	98
53	31
53	69
65	43
36	78
69	7
30	42
80	29
60	74
17	35
0	58
43	54
82	39
64	84
98	48
40	47
56	90
52	100
44	46
63	43
27	12
26	60
49	62
55	8
74	90
32	51
70	14
98	100
7	77
65	83
40	2
90	13
58	67
26	86
59	52
80	76
10	4
18	74
71	48
78	96
19	68
13	85
43	79
43	19
